,Modelo,Clasificación Energética,Mínimo,Máximo,Mínimo.1,Máximo.1
216,Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake R-Line 2.0 TDI 147 kW (200 CV)  Automatico DSG 7 vel.,,"5,6","5,6","147,0","147,0"
217,Volkswagen Turismos Arteon Shooting Brake MY22 Arteon Shooting Brake R-Line 2.0 TSI 140 kW (190 CV)  Automatico DSG 7 vel.,,"7,9","7,9","167,0","167,0"
218,Volkswagen Turismos e-Up MY20 e-up! 61 KW (83 CV) Automático 1 vel.,,"0,0","0,0","0,0","0,0"
219,Volkswagen Turismos e-Up MY20 e-up! Style 61 KW (83 CV) Automático 1 vel.,,"0,0","0,0","0,0","0,0"
220,Volkswagen Turismos e-Up MY21 e-up! 61 KW (83 CV) Automático 1 vel.,,"0,0","0,0","0,0","0,0"
221,Volkswagen Turismos e-Up MY21 e-up! Style 61 KW (83 CV) Automático 1 vel.,,"0,0","0,0","0,0","0,0"
222,Volkswagen Turismos Golf 7 MY20 e-Golf ePower 100kW (136CV),,"0,0","0,0","0,0","0,0"
223,Volkswagen Turismos Golf 7 MY20 GTE 1.4 TSI e-Power Combinado: 150 kW (204 CV) Automático DSG 6 vel.,,"0,0","0,0","0,0","0,0"
224,Volkswagen Turismos Golf 8 MY21 Golf 2.0 TDI 85 kW (115 CV) 6 vel.,,"4,5","4,5","118,0","118,0"
225,Volkswagen Turismos Golf 8 MY21 Golf 2.0 TDI 85 kW (115 CV) Automático DSG 7 vel.,,"4,5","4,5","118,0","118,0"
226,Volkswagen Turismos Golf 8 MY21 Golf eHybrid 1.4 TSI Combinado: 150 kW (204 CV) Automático DSG 6 vel.,,"0,9","0,9","21,0","21,0"
227,Volkswagen Turismos Golf 8 MY21 Golf GTE 1.4 TSI Combinado: 180 kW (245 CV) Automático DSG 6 vel.,,"1,1","1,1","26,0","26,0"
228,Volkswagen Turismos Golf 8 MY21 Golf GTI 2.0 TSI 180 kW (245 CV) 6 vel.,,"7,4","7,4","169,0","169,0"
229,Volkswagen Turismos Golf 8 MY21 Golf GTI 2.0 TSI 180 kW (245 CV) Automatico DSG 7 vel.,,"7,4","7,4","168,0","168,0"
230,Volkswagen Turismos Golf 8 MY21 Golf GTI CLUBSPORT 2.0 TSI 221 kW (300 CV) Automatico DSG 7 vel.,,"7,4","7,4","167,0","167,0"
231,Volkswagen Turismos Golf 8 MY21 Golf Life 1.0 eTSI 81 kW (110 CV) Automatico DSG 7 vel.,,"5,2","5,2","118,0","118,0"
232,Volkswagen Turismos Golf 8 MY21 Golf Life 1.0 TSI 81 kW (110 CV) 6 vel.,,"5,3","5,3","121,0","121,0"
233,Volkswagen Turismos Golf 8 MY21 Golf Life 1.5 eTSI 110 kW (150 CV) Automatico DSG 7 vel.,,"5,7","5,7","127,0","127,0"
234,Volkswagen Turismos Golf 8 MY21 Golf Life 1.5 eTSI 96 kW (130 CV) Automatico DSG 7 vel.,,"5,5","5,5","125,0","125,0"
235,Volkswagen Turismos Golf 8 MY21 Golf Life 1.5 TSI 110 kW (150 CV) 6 vel.,,"5,6","5,6","127,0","127,0"
236,Volkswagen Turismos Golf 8 MY21 Golf Life 1.5 TSI 96 kW (130 CV) 6 vel.,,"5,4","5,4","123,0","123,0"
237,Volkswagen Turismos Golf 8 MY21 Golf Life 2.0 TDI 85 kW (115 CV) 6 vel.,,"4,5","4,5","119,0","119,0"
238,Volkswagen Turismos Golf 8 MY21 Golf Life 2.0 TDI 85 kW (115 CV) Automático DSG 7 Vel.,,"4,5","4,5","118,0","118,0"
239,Volkswagen Turismos Golf 8 MY21 Golf R 2.0 TSI 235 kW (320 CV) Automatico DSG 7 vel.,,"7,8","7,8","177,0","177,0"
